,URL
"U.S. Federal Budget Receipts, Customs 07/1871-04/1959",https://data.nber.org/databases/macrohistory/rectdata/15/m15001.dat
"U.S. Federal Budget Receipts, Income Tax 05/1910-12/1953",https://data.nber.org/databases/macrohistory/rectdata/15/m15002a.dat
"U.S. Federal Budget Receipts, Income Tax 02/1954-04/1959",https://data.nber.org/databases/macrohistory/rectdata/15/m15002b.dat
"U.S. Federal Budget Receipts, Miscellaneous Internal Revenue 07/1879-12/1953",https://data.nber.org/databases/macrohistory/rectdata/15/m15003a.dat
"U.S. Federal Budget Receipts, Miscellaneous Internal Revenue 01/1954-04/1959",https://data.nber.org/databases/macrohistory/rectdata/15/m15003b.dat
"U.S. Federal Budget Receipts, Total 01/1879-06/1933",https://data.nber.org/databases/macrohistory/rectdata/15/m15004a.dat
"U.S. Federal Budget Receipts, Total 07/1930-06/1940",https://data.nber.org/databases/macrohistory/rectdata/15/m15004b.dat
"U.S. Federal Budget Receipts, Total 07/1939-12/1962",https://data.nber.org/databases/macrohistory/rectdata/15/m15004c.dat
"U.S. Federal Budget Expenditures, Total 01/1879-09/1915",https://data.nber.org/databases/macrohistory/rectdata/15/m15005a.dat
"U.S. Federal Budget Expenditures, Total 11/1914-06/1933",https://data.nber.org/databases/macrohistory/rectdata/15/m15005b.dat
"U.S. Federal Budget Expenditures, Total 01/1932-12/1938",https://data.nber.org/databases/macrohistory/rectdata/15/m15005c.dat
"U.S. Federal Budget Expenditures, Total 07/1937-06/1940",https://data.nber.org/databases/macrohistory/rectdata/15/m15005d.dat
"U.S. Federal Budget Expenditures, Total 07/1939-06/1947",https://data.nber.org/databases/macrohistory/rectdata/15/m15005e.dat
"U.S. Federal Budget Expenditures, Total 07/1945-12/1962",https://data.nber.org/databases/macrohistory/rectdata/15/m15005f.dat
U.S. Postal Receipts 01/1897-03/1942,https://data.nber.org/databases/macrohistory/rectdata/15/m15006.dat
"U.S. Net Interest-Bearing Federal Debt, Middle of Month 01/1917-12/1939",https://data.nber.org/databases/macrohistory/rectdata/15/m15007a.dat
"U.S. Net Interest-Bearing Federal Debt, End of Month 01/1917-12/1939",https://data.nber.org/databases/macrohistory/rectdata/15/m15007b.dat
"U.S. Net Interest-Bearing Federal Debt, End of Month 10/1939-12/1968",https://data.nber.org/databases/macrohistory/rectdata/15/m15007c.dat
"U.S. Net Interest-Bearing Federal Debt, Middle of Month 11/1939-12/1949",https://data.nber.org/databases/macrohistory/rectdata/15/m15007d.dat
Germany Post Office Receipts 01/1875-07/1914,https://data.nber.org/databases/macrohistory/rectdata/15/m15008a.dat
Germany Postal Receipts 04/1919-09/1923,https://data.nber.org/databases/macrohistory/rectdata/15/m15008b.dat
Germany Incorporation Fees 04/1892-07/1914,https://data.nber.org/databases/macrohistory/rectdata/15/m15009a.dat
Germany Incorporation Fees 04/1919-01/1923,https://data.nber.org/databases/macrohistory/rectdata/15/m15009b.dat
Germany Receipts From Bills of Exchange Tax 01/1872-07/1914,https://data.nber.org/databases/macrohistory/rectdata/15/m15010a.dat
Germany Receipts From Bills of Exchange Tax 04/1919-02/1935,https://data.nber.org/databases/macrohistory/rectdata/15/m15010b.dat
"Germany Transfer Tax Receipts 04/1892-07/1914, 04/1919-10/1922",https://data.nber.org/databases/macrohistory/rectdata/15/m15011.dat
"France Post Office Receipts, Postal and Telegraph 05/1877-03/1934, 07/1934-06/1939",https://data.nber.org/databases/macrohistory/rectdata/15/m15012.dat
"France Tax On Bourse Operations, Index, Seasonally Adjusted 01/1898-06/1914",https://data.nber.org/databases/macrohistory/rectdata/15/m15013a.dat
"France Tax On Bourse Operations, Index 01/1919-12/1933",https://data.nber.org/databases/macrohistory/rectdata/15/m15013b.dat
"France Revenue From Commercial Paper Tax 01/1896-03/1934, 07/1934-06/1939",https://data.nber.org/databases/macrohistory/rectdata/15/m15014.dat
France Tax On Receipts and Checks 01/1883-12/1896,https://data.nber.org/databases/macrohistory/rectdata/15/m15015a.dat
"France Tax On Receipts and Checks 01/1896-03/1934, 07/1934-06/1939",https://data.nber.org/databases/macrohistory/rectdata/15/m15015b.dat
"France Index of Sales Tax Receipts, Seasonally Adjusted 09/1920-03/1937",https://data.nber.org/databases/macrohistory/rectdata/15/m15016.dat
U.S. Total Federal Budget Surplus Or Deficit 01/1879-09/1915,https://data.nber.org/databases/macrohistory/rectdata/15/m15025a.dat
U.S. Federal Budget Surplus Or Deficit 11/1914-12/1932,https://data.nber.org/databases/macrohistory/rectdata/15/m15025b.dat
U.S. Federal Budget Surplus Or Deficit 07/1930-06/1940,https://data.nber.org/databases/macrohistory/rectdata/15/m15025c.dat
U.S. Federal Budget Surplus Or Deficit 07/1939-06/1947,https://data.nber.org/databases/macrohistory/rectdata/15/m15025d.dat
U.S. Federal Budget Surplus Or Deficit 07/1945-12/1962,https://data.nber.org/databases/macrohistory/rectdata/15/m15025e.dat
"U.S. Defense Department Obligations, Total 07/1953-02/1969",https://data.nber.org/databases/macrohistory/rectdata/15/m15029.dat
"U.S. Defense Department Obligations, Procurements 07/1953-02/1969",https://data.nber.org/databases/macrohistory/rectdata/15/m15030.dat
"U.S. Defense Department, Military Prime Contract Awards To U.S. Business Firms 01/1951-12/1956",https://data.nber.org/databases/macrohistory/rectdata/15/m15031a.dat
"U.S. Defense Department, Military Prime Contract Awards To U.S. Business Firms and Institutions 01/1956-02/1969",https://data.nber.org/databases/macrohistory/rectdata/15/m15031b.dat
"U.S. Federal Cash Receipts From the Public 08, 11/1945; 02, 05, 08, 11/1946-1954; 01/1955-11/1967",https://data.nber.org/databases/macrohistory/rectdata/15/m15032.dat
"U.S. Federal Cash Payments To the Public 08, 11/1945; 02, 05, 08, 11/1946; 01/1947-09/1967",https://data.nber.org/databases/macrohistory/rectdata/15/m15033.dat
"Germany Postal Receipts FIRST, 1926 - THIRD, 1936",https://data.nber.org/databases/macrohistory/rectdata/15/q15008.dat
"U.S. Federal Surplus Or Deficit, High Employment Budget, Seasonally Adjusted FIRST, 1947 - SECOND, 1968",https://data.nber.org/databases/macrohistory/rectdata/15/q15018.dat
"U.S. Government Purchases of Goods and Services, Total FIRST, 1939 - FOURTH, 1946",https://data.nber.org/databases/macrohistory/rectdata/15/q15024a.dat
"U.S. Government Purchasing of Goods and Services, Total, FIRST, 1946 - FOURTH, 1967",https://data.nber.org/databases/macrohistory/rectdata/15/q15024b.dat
"U.S. Personal Tax and Nontax Payments FIRST, 1939 - FOURTH, 1963",https://data.nber.org/databases/macrohistory/rectdata/15/q15026.dat
"U.S. Government Purchases of Goods and Services, Federal FIRST, 1939 - FOURTH, 1946",https://data.nber.org/databases/macrohistory/rectdata/15/q15027a.dat
"U.S. Government Purchases of Goods and Services FIRST, 1946 - FOURTH, 1967",https://data.nber.org/databases/macrohistory/rectdata/15/q15027b.dat
"U.S. Government Purchases of Goods and Services, State And Local Government FIRST, 1939 - FOURTH, 1946",https://data.nber.org/databases/macrohistory/rectdata/15/q15028a.dat
"U.S. Government Purchases of Goods and Services, State And Local Governments FIRST, 1946 - FOURTH, 1967",https://data.nber.org/databases/macrohistory/rectdata/15/q15028b.dat
"U.S. Federal Cash Surplus Or Deficit, Seasonally Adjusted THIRD, 1945 - FOURTH, 1967",https://data.nber.org/databases/macrohistory/rectdata/15/q15034.dat
"U.S. Surplus Or Deficit, Federal Income and Product Analysis, Seasonally Adjusted FIRST, 1946 - THIRD, 1968",https://data.nber.org/databases/macrohistory/rectdata/15/q15035.dat
"U.S. Federal Government Purchases of Goods and Services, National Defense, Seasonally Adjusted FIRST, 1946 - SECOND, 1966",https://data.nber.org/databases/macrohistory/rectdata/15/q15036.dat
