,URL
U.S. Earnings Yield of All Common Stocks On the New York Stock Exchange 1871-1938,https://data.nber.org/databases/macrohistory/rectdata/13/a13049.dat
"U.S. Call Money Rates, Mixed Collateral 01/1857-11/1970",https://data.nber.org/databases/macrohistory/rectdata/13/m13001.dat
U.S. Call Money Rates 01/1857-04/1934,https://data.nber.org/databases/macrohistory/rectdata/13/m13001a.dat
"U.S. Commercial Paper Rates, New York City 01/1857-12/1971",https://data.nber.org/databases/macrohistory/rectdata/13/m13002.dat
"U.S. Ninety Day Time-Money Rates On Stock Exchange Loans, New York City 01/1890-11/1956",https://data.nber.org/databases/macrohistory/rectdata/13/m13003.dat
"U.S. Rates On Customer Loans, New York City 01/1919-02/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13004.dat
"U.S. Rates On Customers' Loans, Northern and Western Cities 01/1919-02/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13005.dat
"U.S. Bank Rates On Customers' Loans, Southern and Western Cities 01/1919-02/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13006.dat
"U.S. Banker's Acceptance Rates, New York City 08/1917-12/1965",https://data.nber.org/databases/macrohistory/rectdata/13/m13007.dat
"U.S. Interest Rates On Federal Land Bank Loans, Twelve Federal Land Banks 02/1917-10/1944",https://data.nber.org/databases/macrohistory/rectdata/13/m13008.dat
"U.S. Discount Rates, Federal Reserve Bank of New York 11/1914-07/1969",https://data.nber.org/databases/macrohistory/rectdata/13/m13009.dat
"U.S. Federal Reserve Bank Discount Rates, Minneapolis 11/1914-11/1944",https://data.nber.org/databases/macrohistory/rectdata/13/m13010.dat
"U.S. Federal Reserve Bank Discount Rate, Dallas 11/1914-11/1944",https://data.nber.org/databases/macrohistory/rectdata/13/m13011.dat
"U.S. Federal Reserve Bank Discount Rates, San Francisco 11/1914-11/1944",https://data.nber.org/databases/macrohistory/rectdata/13/m13012.dat
"Great Britain Minimum Rate of Discount, Bank Of England 01/1836-12/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13013.dat
France Bank of France Discount Rate 01/1852-02/1940,https://data.nber.org/databases/macrohistory/rectdata/13/m13014.dat
Germany Official Bank Discount Rate 01/1876-12/1938,https://data.nber.org/databases/macrohistory/rectdata/13/m13015.dat
"Great Britain Open Market Rates of Discount, London 01/1824-11/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13016.dat
"France Discount Rate, Open Market, Paris 01/1863-10/1870; 08/1871-07/1914; 01/1925-09/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13017.dat
"Germany Private Discount Rate, Prime Banker's Acceptance, Open Market, Berlin 01/1876-07/1914; 10/1914-02/1923; 12/1924-07/1939",https://data.nber.org/databases/macrohistory/rectdata/13/m13018.dat
