,URL
"U.S. Amplitude-Adjusted Composite Index of Twenty Leading Series, Unweighted, Seasonally Adjusted 01/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16001.dat
"U.S. Amplitude Adjusted Composite Index of Leading Series, Six Series, Unweighted, Seasonally Adjusted 01/1919-12/1940",https://data.nber.org/databases/macrohistory/rectdata/16/m16002a.dat
"U.S. Amplitude-Adjusted Composite Index of Leading Series, Eight Series, Weighted, Seasonally Adjusted 01/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16002b.dat
"U.S. Composite Index of Six Roughly Coincident Series, Amplitude-Adjusted, Unweighted, Seasonally Adjusted 01/1919-12/1940",https://data.nber.org/databases/macrohistory/rectdata/16/m16003a.dat
"U.S. Composite Index of Six Roughly Coincident Series, Amplitude-Adjusted, Weighted, Seasonally Adjusted 01/1948-03/1966",https://data.nber.org/databases/macrohistory/rectdata/16/m16003b.dat
"U.S. Composite Index of Four Roughly Coincident Series, Amplitude-Adjusted, Unweighted, Seasonally Adjusted 01/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16004.dat
"U.S. Composite Index of Three Lagging Indicators, Amplitude-Adjusted, Weighted, Seasonally Adjusted 01/1948-03/1966",https://data.nber.org/databases/macrohistory/rectdata/16/m16005.dat
"U.S. Adjusted Rates of Change Of Composite Indexes Of Twenty Leading Series, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16006.dat
"U.S. Adjusted Rates of Change Of Composite Index Of Leading Series, Six Series, Seasonally Adjusted 02/1919-12/1940",https://data.nber.org/databases/macrohistory/rectdata/16/m16007a.dat
"U.S. Adjusted Rates of Change Of Composite Index Of Leading Series, Eight Series, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16007b.dat
"U.S. Adjusted Rates of Change Of Composite Index Of Six Roughly Coincident Series, Seasonally Adjusted 02/1919-12/1940",https://data.nber.org/databases/macrohistory/rectdata/16/m16008a.dat
"U.S. Adjusted Rates of Change Of Composite Index Of Six Roughly Coincident Series, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16008b.dat
"U.S. Adjusted Rates of Change Of Composite Index Of Four Sensitive Roughly Coincident Series, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16009.dat
"U.S. Adjusted Rates of Change Of Composite Index Of Three Lagging Series, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16010.dat
"U.S. Comprehensive Diffusion Index, Eighty Leading Series, One Month Span, Seasonally Adjusted 02/1948-04/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16011.dat
"U.S. Comprehensive Diffusion Index, Eighty Leading Series, Nine Month Span, Seasonally Adjusted 06/1948-12/1963",https://data.nber.org/databases/macrohistory/rectdata/16/m16012.dat
"U.S. Comprehensive Diffusion Index, Fifty-Four Roughly Coincident Series, One Month Span, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16013.dat
"U.S. Comprehensive Diffusion Index, Fifty-Four Roughly Coincident Series, Six Month Span, Seasonally Adjusted 04/1948-06/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16014.dat
"U.S. Cumulated Net Diffusion Index, Eighty Leading Series, One Month Span, Seasonally Adjusted 02/1948-04/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16015.dat
"U.S. Cumulated Net Diffusion Index, Eighty Leading Series, Nine Month Span, Seasonally Adjusted 07/1948-12/1963",https://data.nber.org/databases/macrohistory/rectdata/16/m16016.dat
"U.S. Cumulated Net Diffusion Index, Fifty-Four Roughly Coincident Series, One Month Span, Seasonally Adjusted 02/1948-09/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16017.dat
"U.S. Cumulated Net Diffusion Index, Fifty-Four Roughly Coincident Series, Six Month Span, Seasonally Adjusted 04/1948-06/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16018.dat
"U.S. Diffusion Index, Average Workweek, Twenty-One Manufacturing Industries, One Month Span, Seasonally Adjusted 02/1948-08/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16019.dat
"U.S. Diffusion Index, Average Workweek, Twenty-One Manufacturing Industries, Nine Month Span, Seasonally Adjusted 06/1948-10/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16020.dat
"U.S. Diffusion Index, Manufacturers' New Orders For Durable Goods, Twenty-One Industries, One Month Span, Seasonally 02/1949-12/1953",https://data.nber.org/databases/macrohistory/rectdata/16/m16021a.dat
"U.S. Diffusion Index, Manufacturers' New Orders For Durable Goods, Thirty-Six Industries, One Month Span, Seasonally 01/1954-12/1963",https://data.nber.org/databases/macrohistory/rectdata/16/m16021b.dat
"U.S. Diffusion Index, Manufacturers' New Orders For Durable Goods, Twenty-One Industries, Nine Month Span, Seasonally 06/1949-12/1953",https://data.nber.org/databases/macrohistory/rectdata/16/m16022a.dat
"U.S. Diffusion Index, Manufacturers' New Orders For Durable Goods, Thirty-Six Industries, Nine Month Span, Seasonally 01/1954-10/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16022b.dat
"U.S. Diffusion Index, 500 Common Stock Prices, Eighty Industres, One Month Span, Seasonally Adjusted 02/1948-10/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16026.dat
"U.S. Diffusion Index, 500 Common Stock Prices, Eighty Industries, Nine Month Span, Seasonally Adjusted 06/1948-10/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16027.dat
"U.S. Diffusion Index, Initial Claims For Unemployment Insurance, State Programs, Forty-Seven Areas, One Month Span, 12/1951-10/1964",https://data.nber.org/databases/macrohistory/rectdata/16/m16030.dat
