,URL
"U.S. Bond Sales, Par Value 01/1889-07/1914, 12/1914-11/1956",https://data.nber.org/databases/macrohistory/rectdata/11/m11001.dat
"U.S. Stocks, Number of Shares Sold On the New York Stock Exchange 01/1875-08/1966",https://data.nber.org/databases/macrohistory/rectdata/11/m11002.dat
"U.S. Stocks, Value of Shares Sold On the New York Stock Exchange 01/1885-07/1914, 12/1914-12/1920",https://data.nber.org/databases/macrohistory/rectdata/11/m11003.dat
"U.S. American Railroad Stock Prices 01/1855-07/1914, 12/1914-01/1937",https://data.nber.org/databases/macrohistory/rectdata/11/m11005.dat
U.S. American Railroad Stock Prices 01/1857-12/1929,https://data.nber.org/databases/macrohistory/rectdata/11/m11005a.dat
U.S. American Railroad Stock Prices 01/1918-02/1957,https://data.nber.org/databases/macrohistory/rectdata/11/m11005b.dat
"U.S. American Railroad Stock Prices, 25 Railroad Stocks 01/1949-12/1964",https://data.nber.org/databases/macrohistory/rectdata/11/m11005c.dat
"U.S. Average Prices of 40 Common Stocks 01/1890-07/1914, 10/1914-12/1915",https://data.nber.org/databases/macrohistory/rectdata/11/m11006.dat
"U.S. Index of Common Stock Prices, New York Stock Exchange, Frickey 01/1902-07/1914, 10/1914-05/1923",https://data.nber.org/databases/macrohistory/rectdata/11/m11007.dat
"U.S. Index of Preferred Stock Prices, New York Stock Exchange, Frickey 01/1902-07/1914, 10/1914-05/1923",https://data.nber.org/databases/macrohistory/rectdata/11/m11008.dat
"U.S. Industrial Stock Price Index, Dow-Jones 01/1897-07/1914, 12/1914-09/1916",https://data.nber.org/databases/macrohistory/rectdata/11/m11009a.dat
"U.S. Industrial Stock Price Index, Dow-Jones 12/1914-12/1968",https://data.nber.org/databases/macrohistory/rectdata/11/m11009b.dat
"U.S. JANUARY AND JULY, 1901-1935",https://data.nber.org/databases/macrohistory/rectdata/11/m11010.dat
"Great Britain --London Security Price Index 04/1887, 07/1887-06/1888, 09/1888-03/1890, 05/1890-12/1890, ALL MONTHS EXCEPT AUGUST FOR THE YEARS 1891-1894, 01/1895-12/1895, ALL MONTHS EXCEPT JULY FOR 1896, 01/1897-12/1897, ALL MONTHS EXCEPT JULY FOR",https://data.nber.org/databases/macrohistory/rectdata/11/m11011.dat
"Great Britain Index of Prices Of Industrial Shares, Total 07/1867-06/1914",https://data.nber.org/databases/macrohistory/rectdata/11/m11012a.dat
Great Britain Price Index of Industrial Securities 01/1919-12/1924,https://data.nber.org/databases/macrohistory/rectdata/11/m11012b.dat
Great Britain Index of Prices Of Industrial Stocks 01/1925-01/1934,https://data.nber.org/databases/macrohistory/rectdata/11/m11012c.dat
"Great Britain --London Security Price Index, Coal, Iron, and Steel Shares 04/1887, 07/1887-12/1890, ALL MONTHS EXCEPT AUGUST FOR THE YEARS 1891-92 & 1894, 01/1895-12/1895, ALL MONTHS EXCEPT JULY FOR 1896, 01/1897-12/1897, ALL MONTHS EXCEPT JULY FOR THE YEARS 1898-1904, ALL MONTHS EXCEPT JUNE",https://data.nber.org/databases/macrohistory/rectdata/11/m11013.dat
"Great Britain --London Security Price Index, British Railway Common Shares, Stock Exchange Value 04/1887, 07/1887-06/1888, 09/1888-12/1890, ALL MONTHS EXCEPT AUGUST FOR THE YEARS 1891-1894, 01/1895-12/1895, ALL MONTHS EXCEPT JULY FOR 1896,",https://data.nber.org/databases/macrohistory/rectdata/11/m11014.dat
Great Britain Index Numbers of the Price Of Speculative Stocks 01/1919-12/1930,https://data.nber.org/databases/macrohistory/rectdata/11/m11015.dat
"U.S. American Railroad Bond Prices, High Grade 01/1857-07/1914, 12/1914-01/1937",https://data.nber.org/databases/macrohistory/rectdata/11/m11016.dat
"Great Britain Consolidated Stock Prices, Three Per Cent Stocks. 01/1853-12/1888",https://data.nber.org/databases/macrohistory/rectdata/11/m11017a.dat
"Great Britain Consolidated Stock Prices, Two and Three Quarters Per Cent Stocks. 03/1888-08/1914, 01/1915-12/1934",https://data.nber.org/databases/macrohistory/rectdata/11/m11017b.dat
