,URL
U.S. NBER Series: 12006 1869-1914,https://data.nber.org/databases/macrohistory/rectdata/12/a12006a.dat
U.S. NBER Series: 12006 1910-1954,https://data.nber.org/databases/macrohistory/rectdata/12/a12006b.dat
U.S. NBER Series: 12006 1933-1954,https://data.nber.org/databases/macrohistory/rectdata/12/a12006c.dat
"U.S. Deflated Bank Clearings, Outside New York 1875-1921",https://data.nber.org/databases/macrohistory/rectdata/12/a12018d.dat
"U.S. Deflated Clearings, Outside New York City 1876-1922",https://data.nber.org/databases/macrohistory/rectdata/12/a12018fa.dat
"U.S. Deflated Bank Debits, Outside New York City 1918-1934",https://data.nber.org/databases/macrohistory/rectdata/12/a12018fb.dat
"U.S. Deflated Clearings, Outside New York City 1875-1935",https://data.nber.org/databases/macrohistory/rectdata/12/a12018g.dat
"U.S. Deflated Clearings, December Series 1875-1935",https://data.nber.org/databases/macrohistory/rectdata/12/a12018h.dat
"U.S. Cash Receipts, Total, Large Manufacturing Corporations 1915-1943",https://data.nber.org/databases/macrohistory/rectdata/12/a12035.dat
"U.S. Cash Receipts From Sales, Total, Large Manufacturing Corporations 1915-1943",https://data.nber.org/databases/macrohistory/rectdata/12/a12036.dat
"U.S. Cash Receipts Other Than From Sales, Total, Large Manufacturing Corporations 1915-1943",https://data.nber.org/databases/macrohistory/rectdata/12/a12037.dat
"U.S. Cash Payments Total, Large Manufacturing Corporations 1915-1943",https://data.nber.org/databases/macrohistory/rectdata/12/a12038.dat
U.S. Cash Payments For Operating Expenditures 1915-1943,https://data.nber.org/databases/macrohistory/rectdata/12/a12039.dat
U.S. Cash Payments For Non-Operating Expenditures 1915-1943,https://data.nber.org/databases/macrohistory/rectdata/12/a12040.dat
"U.S. Total Cash Payments, Medium-Sized and Small Manufacturing Corporations 1917-1942",https://data.nber.org/databases/macrohistory/rectdata/12/a12041.dat
"U.S. American Telephone and Telegraph Company Index of Industrial Activity, Seasonally Adjusted 01/1899-03/1935",https://data.nber.org/databases/macrohistory/rectdata/12/m12001.dat
"U.S. Index of Industrial Activity, American Telegraph and Telephone Company 01/1899-05/1957",https://data.nber.org/databases/macrohistory/rectdata/12/m12001a.dat
U.S. Index of General Business Activity 01/1899-09/1938,https://data.nber.org/databases/macrohistory/rectdata/12/m12002.dat
U.S. Index of Industrial Activity 1/1877-12/1961,https://data.nber.org/databases/macrohistory/rectdata/12/m12002a.dat
U.S. Index of American Business Activity 01/1855-12/1970,https://data.nber.org/databases/macrohistory/rectdata/12/m12003.dat
"U.S. Index of Industrial Production and Trade, Seasonally Adjusted 1/1875-12/1915",https://data.nber.org/databases/macrohistory/rectdata/12/m12004a.dat
"U.S. Index of Industrial Production and Trade, Seasonally Adjusted 01/1915-12/1919",https://data.nber.org/databases/macrohistory/rectdata/12/m12004b.dat
